PTG Sokół Łańcut,33,73.5,16.7,32.4,51.5,7.6,24.0,31.4,24.2,56.4,43.0,17.4,24.5,71.2,8.64,22.73,31.36,12.4,21.12,23.91,16.0,11.06,1.36,2.94,74.4,,Sezon 2009/2010,PTG Sokół Łańcut
Przeciwnicy,33,73.9,18.0,35.7,50.4,7.8,23.3,33.5,25.8,59.0,43.7,14.5,20.6,70.4,9.39,22.58,31.97,14.7,24.24,20.79,15.6,11.42,2.97,1.30,80.1,,Sezon 2009/2010,PTG Sokół Łańcut
Znicz Basket Pruszków,32,73.0,20.2,39.3,51.5,6.3,19.8,31.8,26.5,59.0,44.9,13.7,19.2,71.3,9.03,21.81,30.84,13.6,22.97,20.97,16.8,10.28,2.75,1.81,75.6,,Sezon 2009/2010,Znicz Basket Pruszków
Przeciwnicy,32,74.7,17.4,34.5,50.4,7.6,22.8,33.2,24.9,57.2,43.6,17.3,23.9,72.2,9.03,22.03,31.06,13.7,21.22,22.72,16.3,10.88,1.81,2.75,76.9,,Sezon 2009/2010,Znicz Basket Pruszków
Miasto Szkła Krosno,33,69.7,18.3,37.4,49.1,7.2,21.1,33.9,25.5,58.5,43.6,11.6,17.3,67.1,8.73,22.61,31.33,13.0,21.85,18.52,14.0,8.06,2.27,2.27,71.7,,Sezon 2009/2010,Miasto Szkła Krosno
Przeciwnicy,33,73.1,19.2,37.8,50.8,6.5,20.8,31.3,25.7,58.6,43.9,15.1,22.1,68.2,9.18,22.97,32.15,12.6,18.67,21.67,12.8,9.27,2.27,2.27,76.6,,Sezon 2009/2010,Miasto Szkła Krosno
ŁKS Łódź,37,75.3,19.3,40.8,47.3,7.1,21.1,33.6,26.4,61.9,42.6,15.5,23.3,66.4,10.22,23.32,33.54,14.5,20.59,21.95,14.1,10.57,1.16,3.43,77.7,,Sezon 2009/2010,ŁKS Łódź
Przeciwnicy,37,70.6,17.7,35.7,49.6,7.2,22.4,32.1,24.9,58.1,42.9,13.6,19.9,68.3,8.19,23.30,31.49,12.2,22.14,20.35,15.7,9.27,3.43,1.16,71.8,,Sezon 2009/2010,ŁKS Łódź
Enea Zastal BC Zielona Góra,37,76.0,19.1,37.5,51.0,7.4,23.7,31.2,26.5,61.2,43.3,15.7,22.5,69.4,9.38,25.46,34.84,12.1,20.68,20.95,13.3,11.92,3.49,2.46,83.5,,Sezon 2009/2010,Intermarche Zastal Zielona Góra
Przeciwnicy,37,69.2,18.2,38.2,47.6,6.6,21.8,30.4,24.8,60.0,41.4,13.0,20.1,64.7,9.59,24.62,34.22,12.9,21.32,20.49,15.7,9.73,2.49,3.51,70.6,,Sezon 2009/2010,Intermarche Zastal Zielona Góra
